x,y,morphology,dgrp
18.342228273310276,8.39037090968152,1.9266735212622903,DGRP_026
2.7304480161725584,-0.588262973721129,1.73955384073568,DGRP_031
2.7304479916886595,-0.5882630299794624,1.7395527049709125,DGRP_031
1.0777530567591682,1.7050431540259348,1.819831105412628,DGRP_032
-19.56219121579078,-0.30046884778087385,1.869408998890515,DGRP_059
7.242667047187749,-7.592815721087961,1.9742682417962716,DGRP_075
-0.20766126554722877,-4.054358452980449,2.097388019163904,DGRP_100
-0.20766126554722963,-4.054358452980447,2.097358732599275,DGRP_100
-20.554196569587514,21.832975492932622,1.97962839282044,DGRP_105
16.809862161676566,16.805060542370907,1.86352407262246,DGRP_176
25.289158369026545,-12.268423858205194,1.9919699028656401,DGRP_195
23.09473947127295,5.925194620821603,1.8323886592106773,DGRP_208
-13.061935258660812,-14.38717948754229,2.0062477842058684,DGRP_228
12.266973370159427,1.7521030673737077,1.966607690745666,DGRP_304
-0.7044834187253922,9.434609096910684,1.8595970308578829,DGRP_306
8.669013864306914,-2.583777974430707,1.9301929472175352,DGRP_309
-5.018875220184469,1.452251208435295,1.9002465009528007,DGRP_317
-7.251524975048197,18.655409128147664,1.7838736228909557,DGRP_321
5.672431878722366,15.754365697872968,1.6075291502896631,DGRP_332
10.525820614145674,23.03555886106254,1.8628159084648546,DGRP_335
-2.364629873621272,23.437359705270254,1.8734848454518294,DGRP_350
-0.07402282789388355,0.4751461767451565,1.7915423916117705,DGRP_354
13.422784203124605,-1.4448197887486827,1.8674190380524993,DGRP_359
-15.586540792117122,13.898718323139034,1.9704566203136369,DGRP_362
3.8250007574193012,-11.988923915050018,1.9304273685010889,DGRP_365
3.007102258113136,-20.121947200914455,1.722695075171132,DGRP_377
13.639182051580732,-11.022697749079658,1.9487404173954443,DGRP_385
-0.21667872179306832,2.4390638582009343,1.9685517875284728,DGRP_390
-1.3419543304222337,0.17389725556637406,1.8802186536221217,DGRP_395
-3.993000011305394,13.28582146903431,1.859887451539301,DGRP_437
-8.456317569425027,-2.3460446958392933,2.056223308640538,DGRP_439
-8.456317569425027,-2.3460446958392898,2.0562136670300593,DGRP_439
18.66268524214384,-4.7237035594269505,2.0105109341622627,DGRP_517
-15.67396260508769,6.991940012754556,1.845265437679652,DGRP_584
7.925071116968913,-16.250680499096166,1.9800658863030507,DGRP_595
9.721305343092077,6.324800939477899,1.964926862117244,DGRP_703
-12.426367872483215,-7.461242892924834,1.9740425908548427,DGRP_705
-19.408393986859153,4.230187710988698,2.047703512956337,DGRP_732
-19.018053975814585,-7.676830397860296,2.033498985968281,DGRP_737
-0.4801076588984014,-0.19337924452247487,1.9373193147667656,DGRP_739
10.76894960887585,10.378727567842892,1.8750744663641123,DGRP_786
1.0521056028801503,13.963605791601461,1.886776444643483,DGRP_787
-20.387521357491497,-3.644135508337043,1.8107087949598402,DGRP_790
-1.9784835082789187,-15.304778635882919,1.8481519545983915,DGRP_802
5.904340617032052,10.838454107954913,1.89224438065211,DGRP_820
-7.221700583907819,9.103625718692198,1.8364752530337352,DGRP_832
-7.332427555425821,-8.296674944707018,1.9795678598059074,DGRP_843
-9.288066577385171,-20.16005231478106,2.027185558928385,DGRP_850
-9.288066577384583,-20.160052314781314,2.027185431548411,DGRP_850
-2.8380152747715224,-11.961920961204894,1.9495164954042021,DGRP_853
-11.097759943147164,7.852310322171064,1.8476723853037638,DGRP_859
11.6888042036369,-24.767431803663005,1.903394652560178,DGRP_879
9.42804324273378,-11.847330817707316,1.9036216054488353,DGRP_900
